,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
288,Kennett,36.24,-90.06,28,74.0,90.0,4.1,US,1596240500.0
289,Santa Rosalía,27.32,-112.28,31.14,58.0,0.0,2.02,MX,1596240501.0
290,Hutchinson,38.06,-97.93,27.22,51.0,20.0,5.1,US,1596240501.0
291,Conroe,30.31,-95.46,33.89,62.0,1.0,3.1,US,1596240501.0
292,Boone,39.03,-92.33,25,73.0,75.0,5.1,US,1596240501.0
293,Riverton,40.52,-111.94,38.33,12.0,16.0,0.45,US,1596240271.0
294,Mulegé,26.88,-111.98,33.26,50.0,0.0,3.12,MX,1596240501.0
295,Solana Beach,32.99,-117.27,28,60.0,1.0,2.6,US,1596240300.0
296,Hattiesburg,31.33,-89.29,33,49.0,20.0,3.6,US,1596240341.0
297,Charter Township of Clinton,42.59,-82.92,27.22,57.0,40.0,5.1,US,1596240502.0
298,Parksville,49.32,-124.32,26.11,58.0,88.0,1.34,CA,1596240369.0
299,Ciudad Sabinas Hidalgo,26.5,-100.17,32.76,52.0,84.0,4.94,MX,1596240502.0
300,Guangzhou,23.12,113.25,30,66.0,40.0,6.0,CN,1596240380.0
301,Klamath Falls,42.22,-121.78,33.33,11.0,1.0,3.1,US,1596240324.0
302,Morden,49.19,-98.1,27,73.0,40.0,5.7,CA,1596240130.0
303,Wisconsin Rapids,44.38,-89.82,27,42.0,20.0,3.6,US,1596240503.0
304,Bastrop,32.76,-91.87,23,100.0,90.0,4.1,US,1596240503.0
305,Corpus Christi,27.8,-97.4,31.67,66.0,20.0,6.7,US,1596240436.0
306,Merrill,45.18,-89.68,25,50.0,40.0,2.1,US,1596240503.0
307,Athens,37.98,23.72,30.56,44.0,0.0,2.1,GR,1596240460.0
308,Kenora,49.82,-94.43,24,64.0,90.0,3.1,CA,1596240410.0
309,Hopatcong,40.93,-74.66,26.67,65.0,43.0,0.57,US,1596240504.0
310,Saint Augustine,29.89,-81.31,30,79.0,1.0,4.1,US,1596240304.0
311,Orange Cove,36.62,-119.31,38,21.0,1.0,4.05,US,1596240504.0
312,Kemptville,45.02,-75.64,26.11,68.0,9.0,1.84,CA,1596240504.0
313,Harrison,30.41,-89.04,31.11,66.0,1.0,4.6,US,1596240504.0
314,Pahrump,36.21,-115.98,44.44,12.0,0.0,2.24,US,1596240347.0
315,Hull,53.74,-0.34,20,88.0,86.0,3.1,GB,1596240504.0
316,Newton,42.34,-71.21,26.11,57.0,20.0,3.1,US,1596240305.0
317,Brigham City,41.51,-112.02,38,4.0,1.0,3.49,US,1596240397.0
