,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
303,Kinston,35.26,-77.58,34.44,63.0,1.0,1.5,US,1596302382.0
304,Camargo,27.67,-105.17,29.83,38.0,11.0,3.94,MX,1596302383.0
305,Kalispell,48.2,-114.31,28.33,47.0,1.0,2.6,US,1596302383.0
306,Sterling,39.01,-77.43,30,65.0,75.0,2.6,US,1596302102.0
307,Caldwell,43.66,-116.69,28.33,36.0,1.0,3.1,US,1596302383.0
308,Madera,37.17,-119.83,31.67,23.0,0.0,0.89,US,1596302383.0
309,Rock Sound,24.9,-76.2,28.83,78.0,97.0,14.63,BS,1596302306.0
310,Ascension,30.22,-90.9,31.11,70.0,100.0,2.6,US,1596302384.0
311,Cocorit,27.58,-109.97,32,55.0,90.0,2.6,MX,1596302384.0
312,Campbellsville,37.34,-85.34,28.33,73.0,90.0,4.6,US,1596302384.0
313,Fortuna Foothills,32.66,-114.41,38.33,37.0,1.0,9.3,US,1596302384.0
314,Ashland,40.82,-82.27,24,78.0,90.0,3.6,US,1596302384.0
315,Junction City,39.03,-96.83,27.22,51.0,40.0,2.1,US,1596302385.0
316,Deming,32.27,-107.76,32,22.0,1.0,3.1,US,1596302385.0
317,General Cepeda,25.38,-101.45,21,64.0,40.0,2.12,MX,1596302385.0
318,Rogers,36.37,-95.58,29.44,47.0,75.0,1.5,US,1596302385.0
319,Callaway,30.15,-85.57,31.67,66.0,20.0,3.1,US,1596302385.0
320,Orangeburg,33.49,-80.86,32.78,74.0,75.0,3.1,US,1596302385.0
321,Brainerd,46.36,-94.2,25,61.0,75.0,5.7,US,1596302211.0
322,Fairmont,39.49,-80.14,29,58.0,90.0,3.6,US,1596302386.0
323,Álamos,27.02,-108.93,32.78,59.0,0.0,2.68,MX,1596302386.0
324,Dallas,32.77,-96.78,31.67,43.0,40.0,3.6,US,1596302247.0
325,Nicholasville,37.88,-84.57,28.89,78.0,75.0,6.2,US,1596302386.0
326,Macomb,40.46,-90.67,25.56,61.0,1.0,2.1,US,1596302387.0
327,Saint Simons,31.14,-81.39,33.33,74.0,1.0,4.1,US,1596302387.0
